2010-01-01,10.145818181818184,220
2010-01-02,11.640786026200875,229
2010-01-03,10.49772093023256,215
2010-01-04,10.971961538461537,260
2010-01-05,11.47287009063443,331
2010-01-06,12.051800643086835,311
2010-01-07,12.098105590062119,322
2010-01-08,12.135663716814133,339
2010-01-09,11.908309859154947,284
2010-01-10,12.257330508474586,236
2010-01-11,13.465504587155959,327
2010-01-12,13.173037249283661,349
2010-01-13,10.42054711246199,329
2010-01-14,10.23126050420166,357
2010-01-15,11.348514285714302,350
2010-01-16,11.200624999999988,272
2010-01-17,9.962369477911645,249
2010-01-18,9.642382352941151,340
2010-01-19,8.160609418282545,361
2010-01-20,7.923459119496872,318
2010-01-21,6.1083561643835536,292
2010-01-22,5.565887096774196,372
2010-01-23,5.8385276073619465,326
2010-01-24,7.047154471544702,246
2010-01-25,9.09085409252667,281
2010-01-26,9.58404109589041,292
2010-01-27,9.30190751445085,346
2010-01-28,9.4466862170088,341
2010-01-29,10.121950549450577,364
2010-01-30,8.969777070063689,314
2010-01-31,8.927971014492769,276
2010-02-01,9.98542944785275,326
2010-02-02,10.107924528301902,318
2010-02-03,10.326147959183663,392
2010-02-04,9.90754901960784,306
2010-02-05,10.091470588235312,340
2010-02-06,9.639122257053298,319
2010-02-07,8.201902985074621,268
2010-02-08,8.607187500000002,288
2010-02-09,7.516568047337255,338
2010-02-10,7.965685131195337,343
2010-02-11,8.911117647058816,340
2010-02-12,10.35225352112677,426
2010-02-13,12.181876750700281,357
2010-02-14,12.660887372013635,293
2010-02-15,13.420671140939625,298
2010-02-16,13.91644670050759,394
2010-02-17,14.08849350649347,385
2010-02-18,12.76937158469947,366
2010-02-19,10.08883280757096,317
2010-02-20,9.56042207792208,308
2010-02-21,9.078675958188148,287
2010-02-22,8.573983516483501,364
2010-02-23,8.916067073170728,328
2010-02-24,9.98072507552872,331
2010-02-25,11.549833333333359,420
2010-02-26,11.674189944134095,358
2010-02-27,9.437397590361442,415
2010-02-28,10.605759717314482,283
2010-03-01,11.479235474006119,327
2010-03-02,10.356799999999973,375
2010-03-03,8.658125000000007,400
2010-03-04,7.978257142857159,350
2010-03-05,8.820824468085085,376
2010-03-06,9.215656934306567,274
2010-03-07,9.69177304964539,282
2010-03-08,8.804880952380952,336
2010-03-09,6.9451958224543,383
2010-03-10,6.734985673352428,349
2010-03-11,9.206344647519563,383
2010-03-12,10.30017817371939,449
2010-03-13,8.324427480916032,393
2010-03-14,9.401535836177482,293
2010-03-15,13.04389830508472,354
2010-03-16,15.392480818414315,391
2010-03-17,16.12552825552829,407
2010-03-18,14.373164556962013,395
2010-03-19,13.829650349650297,429
2010-03-20,14.290899470899449,378
2010-03-21,14.236784565916409,311
2010-03-22,13.158035190615815,341
2010-03-23,13.092901408450718,355
2010-03-24,12.531691542288543,402
2010-03-25,10.279060773480673,362
2010-03-26,10.970633802816902,426
2010-03-27,13.0480926430518,367
2010-03-28,14.810463576158924,302
2010-03-29,14.496843575419017,358
2010-03-30,11.162589531680448,363
2010-03-31,9.176958041958057,286
2010-04-01,8.962191011235952,356
2010-04-02,8.71962025316452,395
2010-04-03,9.72808724832215,298
2010-04-04,8.48406153846153,325
2010-04-05,9.34748780487805,410
2010-04-06,10.636815642458105,358
2010-04-07,13.87264044943823,356
2010-04-08,14.462771428571438,350
2010-04-09,13.560398126463681,427
2010-04-10,11.293689320388374,309
2010-04-11,10.501719745222942,314
2010-04-12,9.587347826086951,460
2010-04-13,10.778560000000008,375
2010-04-14,11.756955307262524,358
2010-04-15,13.027617728531881,361
2010-04-16,13.373253588516743,418
2010-04-17,14.770353982300913,339
2010-04-18,15.577483660130714,306
2010-04-19,14.566983606557393,305
2010-04-20,11.09622166246852,397
2010-04-21,8.16877777777778,360
2010-04-22,9.662990936555907,331
2010-04-23,12.402164009111589,439
2010-04-24,13.979111675126909,394
2010-04-25,15.868562300319487,313
2010-04-26,16.36096676737156,331
2010-04-27,13.608123249299693,357
2010-04-28,11.04268844221104,398
2010-04-29,9.995931372549046,408
2010-04-30,11.913340248962616,482
2010-05-01,13.262298507462708,335
2010-05-02,14.518713826366561,311
2010-05-03,16.41943502824861,354
2010-05-04,16.666246719160096,381
2010-05-05,14.44872628726291,369
2010-05-06,14.23537530266342,413
2010-05-07,15.804066390041442,482
2010-05-08,15.009773371104815,353
2010-05-09,12.171107491856691,307
2010-05-10,11.13862595419847,393
2010-05-11,11.603280000000014,375
2010-05-12,14.503573333333378,375
2010-05-13,16.226370967741953,372
2010-05-14,16.148774038461525,416
2010-05-15,16.89325870646772,402
2010-05-16,16.224660493827137,324
2010-05-17,12.805151515151485,330
2010-05-18,14.056250000000016,392
2010-05-19,15.80461290322579,310
2010-05-20,16.661228571428584,350
2010-05-21,13.614543269230786,416
2010-05-22,11.524321329639884,361
2010-05-23,11.044851485148516,303
2010-05-24,12.66605590062112,322
2010-05-25,13.33116161616158,396
2010-05-26,14.054999999999984,370
2010-05-27,12.703947368421044,342
2010-05-28,13.45054466230935,459
2010-05-29,17.13455012853469,389
2010-05-30,18.81179487179486,312
2010-05-31,17.861615384615366,260
2010-06-01,16.79723618090448,398
2010-06-02,18.36629427792923,367
2010-06-03,19.430403022670042,397
2010-06-04,20.7128010471204,382
2010-06-05,21.828877551020362,392
2010-06-06,21.394920634920663,315
2010-06-07,19.677394136807816,307
2010-06-08,18.820336391437312,327
2010-06-09,18.076484149855933,347
2010-06-10,16.501286549707586,342
2010-06-11,16.941947115384586,416
2010-06-12,18.431942257217823,381
2010-06-13,20.825702479338876,363
