-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2001 through 12/31/2017 
Location: Latitude  36.7382   Longitude -119.7776 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 358.59 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M
36.73821,-119.77759,2001,05,06,   21.91
36.73821,-119.77759,2001,05,07,   24.96
36.73821,-119.77759,2001,05,08,   27.17
36.73821,-119.77759,2001,05,09,   26.23
36.73821,-119.77759,2001,05,10,   25.08
36.73821,-119.77759,2001,05,11,   26.09
36.73821,-119.77759,2001,05,12,   21.83
36.73821,-119.77759,2001,05,13,   20.14
36.73821,-119.77759,2001,05,14,   20.22
36.73821,-119.77759,2001,05,15,   22.86
36.73821,-119.77759,2001,05,16,   22.27
36.73821,-119.77759,2001,05,17,   22.61
36.73821,-119.77759,2001,05,18,   23.10
36.73821,-119.77759,2001,05,19,   25.51
36.73821,-119.77759,2001,05,20,   26.02
36.73821,-119.77759,2001,05,21,   27.88
36.73821,-119.77759,2001,05,22,   28.86
36.73821,-119.77759,2001,05,23,   28.54
36.73821,-119.77759,2001,05,24,   28.07
36.73821,-119.77759,2001,05,25,   27.09
36.73821,-119.77759,2001,05,26,   25.58
36.73821,-119.77759,2001,05,27,   22.95
36.73821,-119.77759,2001,05,28,   20.44
36.73821,-119.77759,2001,05,29,   23.31
36.73821,-119.77759,2001,05,30,   29.16
36.73821,-119.77759,2001,05,31,   32.77
36.73821,-119.77759,2001,06,01,   28.62
36.73821,-119.77759,2001,06,02,   22.19
36.73821,-119.77759,2001,06,03,   19.97
36.73821,-119.77759,2001,06,04,   21.65
