,T2M,collisions
398,6.74,11
399,8.0,35
400,9.08,43
401,8.96,34
402,10.73,25
403,9.41,36
404,9.97,30
405,12.08,30
406,11.95,28
407,12.11,44
408,11.45,28
409,12.54,34
410,11.82,37
411,11.12,20
412,7.18,7
413,6.38,22
414,9.01,26
415,12.66,41
416,15.6,32
417,17.13,31
418,11.51,36
419,10.8,15
420,13.71,39
421,16.38,39
422,16.12,40
423,14.73,52
424,10.23,45
425,11.43,25
426,11.38,38
427,13.01,46
428,13.08,36
429,10.99,28
430,8.59,23
431,5.88,39
432,10.29,34
433,10.44,19
434,12.83,45
435,13.58,37
436,7.73,40
437,6.47,29
438,6.24,31
439,5.73,22
440,4.61,17
441,6.24,27
442,10.89,36
443,15.05,31
444,15.87,33
445,12.98,33
446,10.39,25
447,9.01,24
448,10.01,26
449,12.83,42
450,15.06,49
451,15.77,35
452,15.94,29
453,17.44,33
454,18.47,19
455,19.42,38
456,19.39,40
457,17.48,38
458,16.81,22
459,13.94,27
460,14.61,23
461,15.16,21
462,17.46,35
463,16.89,38
464,17.1,31
465,17.81,41
466,18.98,62
467,21.69,48
468,20.89,32
469,10.1,40
470,11.76,39
471,9.36,29
472,9.07,27
473,11.84,39
474,13.61,31
475,15.88,31
476,18.81,46
477,20.67,48
478,17.44,48
479,17.05,39
480,11.93,24
481,13.0,25
482,14.09,34
483,13.36,29
484,11.81,49
485,12.85,38
486,15.24,37
487,16.57,41
488,17.7,44
489,19.27,27
490,18.52,51
491,16.73,41
492,17.66,44
493,17.83,52
494,14.96,49
495,17.53,32
496,21.73,28
497,21.48,44
498,19.98,41
499,20.59,50
500,21.64,47
501,22.2,53
502,20.57,41
503,17.34,12
504,12.67,19
505,13.1,36
506,15.31,46
507,18.09,43
508,22.06,45
509,23.4,28
510,22.4,19
511,22.07,28
512,23.0,40
513,26.24,45
514,29.37,33
515,28.9,39
516,23.32,38
517,19.68,28
518,21.89,44
519,26.59,50
520,30.23,45
521,30.3,40
522,26.31,40
523,22.6,23
524,20.19,31
525,23.61,43
526,27.11,30
527,26.29,45
528,25.64,52
529,24.0,43
530,24.44,33
531,25.11,28
532,25.38,52
533,26.45,37
534,26.52,46
535,25.18,43
536,21.36,30
537,22.47,28
538,24.86,25
539,26.13,32
540,27.94,46
541,27.72,45
542,25.4,43
543,25.37,31
544,26.56,22
545,29.2,34
546,31.72,44
547,30.75,46
548,27.83,45
549,26.54,34
550,27.05,37
551,27.46,31
552,27.19,33
553,28.6,41
554,33.57,31
555,35.35,37
556,34.34,41
557,34.32,38
558,33.62,48
559,31.44,19
560,30.13,45
561,28.39,38
562,28.82,46
563,28.02,34
564,28.79,29
565,29.19,26
566,27.93,30
567,27.11,38
568,28.44,43
569,29.03,43
570,28.61,42
571,27.4,49
572,28.53,25
573,28.2,36
574,27.74,38
575,28.97,41
576,28.86,51
577,28.68,42
578,27.62,43
