,T2M,collisions
1661,34.09,41
1662,33.96,51
1663,31.29,44
1664,32.76,38
1665,32.37,35
1666,30.59,35
1667,31.54,41
1668,32.06,45
1669,31.97,47
1670,31.54,35
1671,31.25,35
1672,32.14,24
1673,31.37,41
1674,30.64,31
1675,29.66,40
1676,30.21,28
1677,31.96,33
1678,33.05,26
1679,33.21,20
1680,30.76,31
1681,31.21,26
1682,30.04,37
1683,29.54,44
1684,29.2,45
1685,25.89,43
1686,26.47,22
1687,23.55,40
1688,27.91,40
1689,28.17,45
1690,26.95,46
1691,24.83,32
1692,26.71,37
1693,27.22,31
1694,27.25,36
1695,28.92,41
1696,27.58,38
1697,27.47,41
1698,29.38,40
1699,29.82,36
1700,30.27,20
1701,27.94,34
1702,25.86,41
1703,28.1,37
1704,27.52,50
1705,27.13,43
1706,26.48,26
1707,24.54,31
1708,24.23,24
1709,25.33,50
1710,25.06,35
1711,23.06,42
1712,20.62,38
1713,19.41,32
1714,18.29,29
1715,18.69,49
1716,18.65,51
1717,19.38,41
1718,20.74,50
1719,20.31,39
1720,19.46,30
1721,19.93,20
1722,23.84,33
1723,25.52,40
1724,24.01,46
1725,24.83,43
1726,22.69,40
1727,18.1,28
1728,21.07,28
1729,21.26,44
1730,20.57,53
1731,23.49,46
1732,25.54,55
1733,26.4,47
1734,23.68,35
1735,19.0,29
1736,15.84,50
1737,15.78,50
1738,18.92,51
1739,21.69,38
1740,22.04,53
1741,16.3,27
1742,17.01,27
1743,19.49,32
1744,20.36,37
1745,20.4,37
1746,22.81,43
1747,24.18,43
1748,15.34,36
1749,19.04,29
1750,20.84,42
1751,18.51,33
1752,17.69,27
1753,16.96,41
1754,19.37,36
1755,19.11,21
1756,18.68,17
1757,18.89,33
1758,16.67,56
1759,16.38,33
1760,13.71,44
1761,14.78,33
1762,15.15,29
1763,14.39,25
1764,17.39,42
1765,20.66,30
1766,15.88,40
1767,12.82,35
1768,13.13,41
1769,13.01,28
1770,14.74,23
1771,16.39,38
1772,15.42,29
1773,16.44,28
1774,14.61,35
1775,12.71,33
1776,13.16,32
1777,14.58,21
1778,15.64,31
1779,16.92,38
1780,17.47,41
1781,17.29,37
1782,17.55,39
1783,16.33,24
1784,17.41,28
1785,16.71,41
1786,17.12,35
1787,16.64,36
1788,14.72,17
1789,13.29,17
1790,7.68,19
1791,6.49,18
1792,8.43,30
1793,10.14,29
1794,12.81,31
1795,12.55,21
1796,8.21,28
1797,5.04,27
1798,6.25,12
1799,7.65,33
1800,6.94,39
1801,7.67,20
1802,10.84,27
1803,11.17,24
1804,11.64,15
1805,11.35,21
1806,9.79,25
1807,8.3,26
1808,8.0,24
1809,8.5,33
1810,6.22,17
1811,6.93,19
1812,8.65,15
1813,12.49,24
1814,14.95,23
1815,15.79,28
1816,15.17,20
1817,15.3,22
1818,16.23,20
1819,12.62,8
1820,10.13,10
1821,10.92,16
1822,9.43,17
1823,8.7,19
1824,9.72,16
1825,10.27,7
1826,7.19,11
1827,7.03,8
1828,6.69,26
1829,9.22,31
1830,12.87,30
1831,14.44,35
1832,9.82,16
1833,8.35,19
1834,9.28,35
1835,9.8,33
1836,10.23,30
1837,9.67,21
1838,11.82,28
1839,8.14,11
1840,4.25,26
1841,4.12,20
1842,7.6,21
1843,6.19,22
1844,5.17,36
1845,4.84,34
1846,5.87,27
1847,7.44,20
1848,8.61,30
1849,10.47,29
1850,9.58,29
1851,8.01,36
1852,6.23,29
1853,8.18,15
1854,9.92,22
1855,9.79,35
1856,6.65,22
1857,10.11,25
1858,12.17,27
1859,12.45,35
1860,10.56,26
1861,10.14,27
1862,13.4,46
1863,13.61,34
1864,13.62,38
1865,14.45,40
1866,13.97,43
1867,13.42,40
1868,13.48,29
1869,15.59,44
1870,12.76,38
1871,5.34,30
1872,4.79,21
1873,4.41,19
1874,4.03,19
1875,3.22,13
1876,4.13,27
1877,5.16,47
1878,7.18,35
1879,10.68,40
1880,12.11,32
1881,11.96,30
1882,11.78,20
1883,11.74,14
1884,9.61,20
1885,9.62,41
1886,7.62,31
1887,5.86,14
1888,5.78,22
1889,9.02,15
1890,8.62,23
1891,7.8,26
1892,7.19,29
1893,6.79,22
1894,3.63,21
1895,2.94,11
1896,2.93,10
1897,5.45,20
1898,5.77,19
1899,7.7,32
1900,8.74,20
1901,7.4,23
1902,6.84,26
1903,7.12,12
1904,6.59,23
1905,6.65,27
1906,10.23,24
1907,14.38,32
1908,13.73,26
1909,10.23,16
1910,9.3,17
1911,11.76,34
1912,8.7,21
1913,7.59,24
1914,10.02,19
1915,9.88,20
1916,9.63,20
1917,10.72,18
1918,12.7,21
1919,10.69,22
1920,7.23,21
1921,10.3,36
1922,11.97,28
1923,11.89,28
1924,10.98,21
1925,10.67,37
1926,11.23,25
1927,14.13,22
1928,16.28,38
1929,14.02,22
1930,12.3,20
1931,11.05,22
1932,8.92,29
1933,11.62,30
1934,14.59,35
1935,16.89,23
1936,16.37,36
1937,12.86,15
1938,11.61,23
1939,13.66,28
1940,12.79,34
1941,14.11,34
1942,17.06,34
1943,18.69,31
1944,18.35,33
1945,19.68,28
1946,20.33,24
1947,19.37,52
1948,17.51,39
1949,15.51,37
1950,17.16,36
1951,15.68,37
1952,17.73,25
1953,19.4,38
1954,19.47,51
1955,22.86,45
1956,23.22,53
1957,22.89,44
1958,20.66,28
1959,22.66,23
1960,25.52,35
1961,24.87,43
1962,25.77,34
1963,25.87,33
1964,21.43,38
1965,20.66,25
1966,16.87,25
1967,16.37,21
1968,18.98,34
1969,19.79,47
1970,18.31,36
1971,16.46,37
1972,12.9,24
1973,15.73,22
1974,17.5,23
1975,19.96,41
1976,23.02,52
1977,24.25,51
1978,24.28,43
1979,24.87,37
1980,25.2,23
1981,23.23,50
1982,23.83,35
1983,24.34,43
1984,23.05,48
1985,22.15,38
1986,21.43,25
1987,21.43,24
1988,20.33,31
1989,18.46,47
1990,20.69,51
1991,22.19,39
1992,25.91,42
1993,28.49,34
1994,26.73,32
1995,24.71,35
1996,26.6,35
1997,28.98,39
1998,31.65,40
1999,31.89,28
2000,31.52,24
2001,32.55,27
2002,32.99,39
2003,28.75,35
2004,31.12,38
2005,30.51,41
2006,29.45,50
2007,27.63,25
2008,28.6,17
2009,29.26,44
2010,27.96,28
2011,26.16,45
2012,25.03,42
2013,27.61,39
2014,31.38,25
2015,31.99,25
2016,30.64,34
2017,29.62,43
2018,26.27,44
2019,29.45,34
2020,30.66,40
2021,31.86,28
2022,33.76,28
2023,34.69,37
2024,33.45,28
2025,34.35,46
2026,34.89,29
2027,35.01,52
2028,37.5,26
2029,38.0,17
2030,37.31,33
2031,37.02,33
2032,35.49,39
2033,33.32,34
2034,30.66,41
2035,29.31,25
2036,28.81,24
2037,26.84,24
2038,24.08,34
2039,26.97,25
2040,28.22,43
2041,27.45,40
2042,26.14,24
2043,26.05,17
2044,24.15,36
2045,25.11,28
2046,28.58,28
2047,30.59,26
2048,29.02,34
2049,26.02,27
2050,26.86,21
2051,26.52,26
2052,25.61,31
2053,25.99,27
2054,25.55,26
2055,26.9,22
2056,26.84,20
2057,25.61,17
2058,26.38,22
2059,28.89,17
2060,29.15,24
2061,27.76,20
2062,25.5,17
2063,25.23,10
2064,27.28,9
2065,28.69,21
2066,27.9,12
2067,26.58,14
2068,27.8,22
2069,28.58,35
2070,27.84,19
2071,27.23,15
2072,27.05,14
2073,29.8,23
2074,30.15,34
2075,28.32,34
2076,24.59,35
2077,21.81,31
2078,22.99,19
2079,26.63,30
2080,28.91,45
2081,28.98,35
2082,24.33,45
2083,16.59,56
2084,18.07,37
2085,21.8,22
2086,24.78,40
2087,23.42,50
2088,19.96,46
2089,22.23,40
2090,21.27,52
2091,23.0,33
2092,23.31,27
2093,24.42,60
2094,25.09,53
2095,24.07,50
2096,24.35,54
2097,23.6,46
2098,21.37,25
2099,16.94,23
2100,18.35,36
2101,18.33,37
2102,17.59,45
2103,14.93,40
2104,15.49,21
2105,16.51,33
2106,18.94,21
2107,20.19,36
2108,16.47,46
2109,19.05,49
2110,20.28,32
2111,17.34,41
2112,16.14,25
2113,15.16,16
2114,14.59,36
2115,13.91,37
2116,14.97,37
2117,17.32,43
2118,19.72,47
2119,21.26,41
2120,21.22,24
2121,20.48,28
2122,19.93,51
2123,16.34,33
2124,17.14,35
2125,18.74,50
2126,19.14,21
2127,16.19,30
2128,14.82,29
2129,13.23,42
2130,14.52,29
2131,17.1,34
2132,16.24,33
2133,16.05,34
2134,16.41,18
2135,18.23,44
2136,19.44,46
2137,16.61,31
2138,11.72,50
2139,13.14,40
2140,10.67,21
2141,10.97,25
2142,12.59,31
2143,13.69,41
2144,14.15,36
2145,15.09,41
2146,16.22,44
2147,16.13,23
2148,17.34,24
2149,15.23,39
2150,13.84,33
2151,12.2,31
2152,10.66,11
2153,8.21,18
2154,8.4,26
2155,8.08,18
2156,7.29,24
2157,4.93,37
2158,4.86,22
2159,7.07,26
2160,7.94,30
2161,10.55,26
2162,11.34,27
2163,10.98,33
2164,12.01,32
2165,12.66,32
2166,13.91,28
2167,13.7,30
2168,11.34,21
2169,7.31,12
2170,7.84,33
2171,9.72,20
2172,12.27,34
2173,12.37,29
2174,9.78,23
2175,6.73,18
2176,3.64,11
2177,3.21,23
2178,4.58,21
2179,5.22,23
2180,5.12,19
2181,5.49,23
2182,7.1,19
2183,8.46,12
2184,12.56,7
2185,11.13,22
2186,6.5,19
2187,4.07,22
2188,5.52,23
2189,7.03,14
2190,6.17,14
2191,6.74,13
2192,9.78,14
2193,10.74,25
2194,7.54,19
2195,4.13,21
2196,4.92,16
2197,7.46,11
2198,9.29,23
2199,12.46,29
2200,10.22,20
2201,3.32,18
2202,0.52,23
2203,-0.12,18
2204,1.31,12
2205,2.57,19
2206,4.48,28
2207,3.82,30
2208,4.88,23
2209,6.87,21
2210,6.27,26
2211,6.18,21
2212,7.2,49
2213,8.52,36
2214,11.72,32
2215,11.87,31
2216,9.8,38
2217,7.22,15
2218,8.65,13
2219,10.21,21
2220,8.95,23
2221,7.41,24
2222,6.33,25
2223,6.85,31
2224,9.98,23
2225,13.31,17
2226,17.02,23
2227,13.85,19
2228,12.07,22
2229,12.77,30
2230,12.6,21
2231,11.12,13
2232,9.96,20
2233,9.04,24
2234,7.96,26
2235,7.97,31
2236,10.66,34
2237,13.65,28
2238,16.09,18
2239,12.96,20
2240,10.17,19
2241,9.75,33
2242,10.36,30
2243,7.34,27
2244,4.49,28
2245,6.59,22
2246,7.1,10
2247,7.55,26
2248,5.78,26
2249,3.63,28
2250,4.72,33
2251,7.27,24
2252,11.77,26
2253,14.2,21
2254,16.1,30
2255,15.85,29
2256,14.84,36
2257,13.08,42
2258,12.14,32
2259,13.64,39
2260,17.5,33
2261,19.55,39
2262,19.46,40
2263,18.11,35
2264,18.08,39
2265,20.7,35
2266,18.93,39
2267,15.72,19
2268,15.57,38
2269,12.01,20
2270,11.13,31
2271,14.37,39
2272,16.01,33
2273,17.12,31
2274,14.27,23
2275,13.13,16
2276,7.55,29
2277,9.33,37
2278,12.44,41
2279,16.03,28
2280,16.54,33
2281,17.03,23
2282,15.93,34
2283,18.19,37
2284,17.3,27
2285,17.18,24
2286,19.11,30
2287,17.57,22
2288,15.73,20
2289,14.9,36
2290,14.48,15
2291,11.33,43
2292,10.62,32
2293,13.94,38
2294,11.3,22
2295,12.51,27
2296,15.91,35
2297,14.43,46
2298,8.85,29
2299,8.74,29
2300,9.17,32
2301,12.61,16
2302,10.09,18
2303,12.79,37
2304,16.43,49
2305,17.39,43
2306,18.18,44
2307,22.52,47
2308,25.63,34
2309,23.26,25
2310,20.86,39
2311,19.62,33
2312,15.1,32
2313,12.55,36
2314,11.59,34
2315,14.79,36
2316,18.62,34
2317,23.2,37
2318,25.2,30
2319,24.97,35
2320,22.75,60
2321,22.58,45
2322,18.63,32
2323,18.24,26
2324,22.72,41
2325,22.68,27
2326,20.85,38
2327,21.05,25
2328,20.98,44
2329,21.43,43
2330,20.72,25
2331,20.42,45
2332,20.69,44
2333,21.85,46
2334,23.44,49
2335,24.58,44
2336,25.18,29
2337,23.09,17
2338,22.94,30
2339,24.43,38
2340,23.65,53
2341,23.56,34
2342,22.83,32
2343,24.71,29
2344,24.8,30
2345,24.73,35
2346,19.72,57
2347,16.08,38
2348,19.03,40
2349,21.55,43
2350,24.39,30
2351,25.62,33
2352,24.65,40
2353,26.6,46
2354,30.12,37
2355,31.77,38
2356,31.62,38
2357,27.33,37
2358,25.3,31
2359,28.82,39
2360,27.78,43
2361,26.71,38
2362,26.67,58
2363,27.6,41
2364,26.82,26
2365,23.95,39
2366,24.45,38
2367,27.87,32
2368,26.4,40
2369,26.26,44
2370,26.15,43
2371,25.61,38
2372,26.04,26
2373,27.38,51
2374,28.74,57
2375,31.85,32
2376,34.74,38
2377,33.99,39
2378,28.93,27
2379,28.46,30
2380,29.54,30
2381,27.48,38
2382,27.68,49
2383,26.94,39
2384,26.85,50
2385,28.13,36
2386,28.88,29
2387,27.83,36
2388,25.57,52
2389,25.81,49
2390,25.38,34
2391,26.25,43
2392,27.47,34
2393,28.32,34
2394,28.79,38
2395,29.9,45
2396,28.79,30
2397,28.77,42
2398,29.55,37
2399,29.27,25
2400,28.12,27
2401,28.68,34
2402,30.13,45
2403,29.97,27
2404,29.77,35
2405,30.62,43
2406,31.5,35
2407,26.82,29
2408,22.81,31
2409,22.39,32
2410,23.22,43
2411,26.0,38
2412,27.19,42
2413,26.71,36
2414,26.02,30
2415,27.53,37
2416,28.63,29
2417,28.27,49
2418,26.68,36
2419,26.23,41
2420,26.21,26
2421,25.15,24
2422,27.4,44
2423,29.63,46
2424,29.72,39
2425,28.34,48
2426,29.08,40
2427,29.15,36
2428,27.64,22
2429,28.04,33
2430,30.83,40
2431,32.95,44
2432,31.88,40
2433,33.69,44
2434,32.79,25
2435,31.27,26
2436,30.7,18
2437,25.95,48
2438,25.03,43
2439,27.33,31
2440,25.9,44
2441,26.04,33
2442,25.83,31
2443,25.7,42
2444,26.21,45
2445,25.13,37
2446,21.04,48
2447,21.18,47
2448,21.47,29
2449,20.33,23
2450,20.48,42
2451,21.97,47
2452,15.98,37
2453,15.74,42
2454,19.04,29
2455,16.29,12
2456,16.71,22
2457,18.43,51
2458,21.33,36
2459,23.25,55
2460,23.92,43
2461,17.84,31
2462,16.04,29
2463,20.03,29
2464,18.32,43
2465,20.38,49
2466,21.3,47
2467,16.47,48
2468,11.18,50
2469,12.93,37
2470,16.24,24
2471,19.59,30
2472,18.72,43
2473,14.67,38
2474,17.1,53
2475,15.34,26
2476,15.39,25
2477,17.66,19
2478,15.35,22
2479,14.71,32
2480,13.91,37
2481,15.98,41
2482,18.7,38
2483,14.93,35
2484,15.02,28
2485,19.28,42
2486,22.19,32
2487,23.51,38
2488,22.92,27
2489,19.88,33
2490,19.78,28
2491,21.37,26
2492,19.18,32
2493,15.34,37
2494,15.33,45
2495,15.17,26
2496,16.53,32
2497,18.06,31
2498,17.89,16
2499,17.08,37
2500,17.3,38
2501,18.36,32
2502,16.43,35
2503,14.24,40
2504,14.0,27
2505,12.82,30
2506,13.11,31
2507,15.49,31
2508,17.29,34
2509,18.94,39
2510,16.34,40
2511,14.85,21
2512,14.64,30
2513,14.66,40
2514,12.16,43
2515,12.02,22
2516,10.94,19
2517,10.18,24
2518,11.56,22
2519,11.6,19
2520,11.18,27
2521,11.87,47
2522,11.34,37
2523,12.14,38
2524,7.85,21
2525,4.75,26
2526,7.17,28
2527,12.32,37
2528,14.84,32
2529,13.98,44
2530,10.74,26
2531,7.97,25
2532,4.83,16
2533,5.39,17
2534,5.56,25
2535,5.54,27
2536,6.74,26
2537,5.56,31
2538,6.54,27
2539,7.96,29
2540,7.98,21
2541,6.85,23
2542,8.34,22
2543,7.78,19
2544,5.7,22
2545,2.65,36
2546,5.26,17
2547,7.48,14
2548,8.53,24
2549,4.35,12
2550,3.86,22
2551,1.73,14
2552,3.01,20
2553,5.19,16
2554,7.0,19
2555,7.25,16
2556,9.08,10
2557,8.97,13
2558,9.59,17
2559,8.08,14
2560,5.36,12
2561,5.18,9
2562,4.55,23
2563,5.75,24
2564,6.17,32
2565,7.96,33
2566,8.71,26
2567,7.78,24
2568,8.13,23
2569,10.93,25
2570,7.93,31
2571,6.25,30
2572,5.28,27
2573,7.61,37
2574,9.01,25
2575,6.62,23
2576,5.21,10
2577,6.27,19
2578,4.08,21
2579,3.85,15
2580,8.13,20
2581,9.68,16
2582,9.39,15
2583,2.93,27
2584,2.94,26
2585,3.24,34
2586,5.21,26
2587,5.15,26
2588,3.95,21
2589,4.74,10
2590,3.1,24
2591,4.69,31
2592,5.81,28
2593,7.87,34
2594,9.62,31
2595,11.86,33
2596,12.14,25
2597,11.92,40
2598,13.77,29
2599,10.84,29
2600,6.6,31
2601,7.65,33
2602,9.2,24
2603,9.95,27
2604,11.25,17
2605,9.42,21
2606,8.48,13
2607,7.79,19
2608,7.42,17
2609,7.69,20
2610,7.7,8
2611,8.35,28
2612,11.85,41
2613,13.3,26
2614,13.66,30
2615,14.72,29
2616,10.4,33
2617,8.89,22
2618,11.5,36
2619,11.46,45
2620,11.02,41
2621,11.87,28
2622,13.25,30
2623,12.36,23
2624,12.65,36
2625,15.57,30
2626,14.97,34
2627,13.42,35
2628,12.87,39
2629,9.28,38
2630,6.5,17
2631,7.41,24
2632,9.53,41
2633,12.93,40
2634,12.65,37
2635,11.5,30
2636,11.54,38
2637,14.25,34
2638,15.83,27
2639,15.52,36
2640,15.34,32
2641,12.66,44
2642,10.14,35
2643,11.93,49
2644,12.59,25
2645,8.95,12
2646,9.34,30
2647,13.14,30
2648,11.46,42
2649,13.86,32
2650,14.43,46
2651,11.59,28
2652,11.51,18
2653,10.8,35
2654,9.41,39
2655,10.5,37
2656,13.51,43
2657,18.01,36
2658,21.66,37
2659,23.19,37
2660,17.14,38
2661,10.31,42
2662,13.0,41
2663,18.06,52
2664,18.13,52
2665,12.14,32
2666,8.61,27
2667,10.18,36
2668,12.65,26
2669,12.96,35
2670,12.59,35
2671,16.93,51
2672,20.48,55
2673,23.02,17
2674,22.65,40
2675,16.46,32
2676,12.25,44
2677,14.69,46
2678,17.72,47
2679,17.43,30
2680,17.77,20
2681,18.08,41
2682,20.05,36
2683,17.47,32
2684,18.42,37
2685,18.1,51
2686,19.65,32
2687,20.01,24
2688,17.19,30
2689,20.11,41
2690,24.44,49
2691,28.57,49
2692,30.01,48
2693,29.53,45
2694,29.14,31
2695,28.45,36
2696,24.88,41
2697,18.25,39
2698,18.2,35
2699,16.55,38
2700,14.16,17
2701,12.92,23
2702,16.08,32
2703,16.02,35
2704,17.32,41
2705,17.91,43
2706,19.2,47
2707,19.0,40
2708,20.53,31
2709,19.82,47
2710,21.02,43
2711,18.15,36
2712,20.51,39
2713,20.8,58
2714,20.47,47
2715,24.18,36
2716,26.84,41
2717,26.05,48
2718,23.69,45
2719,26.23,43
2720,28.9,32
2721,27.95,32
2722,27.51,22
2723,26.73,37
2724,27.05,64
2725,28.83,39
2726,30.12,42
2727,32.11,37
2728,33.9,40
2729,30.24,32
2730,26.57,37
2731,26.18,48
2732,25.17,40
2733,25.65,50
2734,29.1,31
2735,28.52,40
2736,28.51,28
2737,27.67,39
2738,26.97,50
2739,27.45,43
2740,27.93,54
2741,25.67,32
2742,26.84,34
2743,28.27,26
2744,31.94,34
2745,34.41,32
2746,35.18,40
2747,34.82,50
2748,30.03,40
2749,29.52,27
2750,29.96,27
2751,30.12,28
2752,29.3,44
2753,28.34,50
2754,29.5,52
2755,28.05,35
2756,29.1,36
2757,27.08,40
2758,25.85,45
2759,26.16,47
2760,28.07,50
2761,28.1,39
2762,29.24,54
2763,30.19,33
2764,27.67,30
2765,26.61,42
2766,26.44,42
2767,26.93,44
2768,27.68,44
2769,28.05,46
2770,29.09,40
2771,28.29,34
2772,28.73,49
2773,29.03,37
2774,29.26,36
2775,29.1,45
2776,27.95,47
2777,26.01,46
2778,27.15,26
2779,28.54,41
2780,29.04,37
2781,30.92,56
2782,32.02,28
2783,31.89,54
2784,30.96,39
2785,28.4,30
2786,26.85,41
2787,23.66,47
2788,24.84,45
2789,27.2,47
2790,27.69,45
2791,27.72,44
2792,28.72,23
2793,29.7,50
2794,28.13,48
2795,29.29,49
2796,31.73,47
2797,32.7,56
2798,30.99,40
2799,24.11,25
2800,22.29,33
2801,26.07,47
2802,27.45,65
2803,28.42,51
2804,29.4,56
2805,30.44,34
2806,30.24,35
2807,28.45,43
2808,25.48,58
2809,23.12,63
2810,25.31,46
2811,25.25,49
2812,24.02,33
2813,25.26,30
2814,26.83,53
2815,27.1,49
2816,24.06,60
2817,23.1,63
2818,21.39,54
2819,19.96,47
2820,20.24,28
2821,20.41,45
2822,24.17,52
2823,26.16,62
2824,26.96,67
2825,26.93,67
2826,26.75,48
2827,27.09,42
2828,25.21,47
2829,26.76,64
2830,28.05,52
2831,24.48,44
2832,20.23,48
2833,17.8,29
2834,17.13,31
2835,19.74,49
2836,22.01,51
2837,22.14,51
2838,17.81,39
2839,12.22,51
2840,11.03,34
2841,11.43,36
2842,15.3,38
2843,18.54,45
2844,20.58,55
2845,21.58,57
2846,23.54,51
2847,21.16,38
2848,18.46,28
2849,16.71,45
2850,18.0,57
2851,21.45,51
2852,22.56,50
2853,21.48,54
2854,21.86,31
2855,21.09,28
2856,20.33,34
2857,20.42,49
2858,20.0,44
2859,21.12,48
2860,18.75,34
2861,17.41,13
2862,14.34,22
2863,13.05,34
2864,10.69,33
2865,10.05,35
2866,12.74,36
2867,15.95,35
2868,14.84,34
2869,10.64,15
2870,10.39,32
2871,12.01,27
2872,14.32,40
2873,15.61,46
2874,17.62,49
2875,18.82,33
2876,19.01,24
2877,19.98,44
2878,19.41,55
2879,15.86,37
2880,14.04,59
2881,13.29,42
2882,13.06,21
2883,13.41,24
2884,13.68,32
2885,12.33,29
2886,12.61,24
2887,11.39,12
2888,9.75,21
2889,11.67,23
2890,14.83,24
2891,13.99,36
2892,11.31,45
2893,9.88,30
2894,9.76,38
2895,10.78,53
2896,11.19,16
2897,9.69,15
2898,6.07,33
2899,7.86,50
2900,9.4,30
2901,10.86,42
2902,10.19,34
2903,5.75,20
2904,3.11,19
2905,4.77,20
2906,3.67,33
2907,3.38,24
2908,1.91,26
2909,3.82,28
2910,4.84,21
2911,6.64,10
2912,5.75,14
2913,4.06,23
2914,6.47,15
2915,4.92,8
2916,1.73,17
2917,2.98,17
2918,6.56,16
2919,8.51,24
2920,8.65,32
2921,6.67,22
2922,6.41,13
2923,6.92,19
2924,5.26,23
2925,4.27,17
2926,4.97,27
2927,5.64,27
2928,7.54,26
2929,8.69,37
2930,7.31,38
2931,9.35,21
2932,9.48,19
2933,12.7,40
2934,13.33,40
2935,13.52,43
2936,13.96,35
2937,13.0,45
2938,13.47,28
2939,13.86,21
2940,13.71,32
2941,14.59,32
2942,15.02,27
2943,12.73,28
2944,13.15,30
2945,11.51,18
2946,7.0,30
2947,4.46,29
2948,4.76,27
2949,6.88,31
2950,9.93,34
2951,12.52,40
2952,10.98,33
2953,11.15,25
2954,13.23,35
2955,14.56,49
2956,14.27,46
2957,10.12,28
2958,9.27,26
2959,8.6,17
2960,7.59,16
2961,3.64,22
2962,3.45,34
2963,4.97,27
2964,5.74,32
2965,3.95,21
2966,4.55,23
2967,7.23,14
2968,6.74,15
2969,5.97,26
2970,7.77,25
2971,10.44,39
2972,10.98,30
2973,11.84,25
2974,11.36,20
2975,12.75,30
2976,12.4,23
2977,10.52,36
2978,11.14,35
2979,10.35,37
2980,13.41,38
2981,15.28,26
2982,12.25,31
2983,10.14,38
2984,7.88,25
2985,7.37,32
2986,6.99,36
2987,7.99,23
2988,9.54,27
2989,5.91,28
2990,6.54,29
2991,8.99,33
2992,10.15,45
2993,11.14,39
2994,9.94,22
2995,10.3,23
2996,13.14,29
2997,14.26,44
2998,15.15,33
2999,16.14,32
3000,15.35,29
3001,12.91,31
3002,6.38,14
3003,6.53,35
3004,10.0,45
3005,12.33,35
3006,13.49,56
3007,14.82,36
3008,17.19,44
3009,12.72,21
3010,11.06,35
3011,13.9,45
3012,14.38,42
3013,13.64,47
3014,10.02,41
3015,10.86,44
3016,15.25,30
3017,17.37,48
3018,12.9,35
3019,10.32,40
3020,11.36,29
3021,11.37,38
3022,11.25,32
3023,14.1,27
3024,14.74,24
3025,9.56,36
3026,8.01,34
3027,10.88,43
3028,14.7,33
3029,18.7,42
3030,22.14,25
3031,24.19,51
3032,25.14,48
3033,24.45,53
3034,18.85,43
3035,13.8,59
3036,11.93,54
3037,13.13,30
3038,13.44,40
3039,11.29,30
3040,12.81,40
3041,15.33,44
3042,17.06,38
3043,16.34,22
3044,18.12,25
3045,19.0,37
3046,19.42,42
3047,20.92,48
3048,20.16,43
3049,20.79,43
3050,21.41,39
3051,21.72,30
3052,20.59,36
3053,18.7,45
3054,19.9,47
3055,21.03,49
3056,23.04,52
3057,27.19,45
3058,30.11,33
3059,28.18,38
3060,26.58,45
3061,23.29,47
3062,23.89,36
3063,23.34,41
3064,21.74,45
3065,19.91,18
3066,20.29,27
3067,24.83,37
3068,27.44,50
3069,27.66,44
3070,26.07,43
3071,23.66,34
3072,24.64,28
3073,22.57,44
3074,22.46,30
3075,21.61,43
3076,20.31,43
3077,16.52,43
3078,18.02,32
3079,20.02,25
3080,21.11,48
3081,20.45,48
3082,20.47,43
3083,20.49,40
3084,18.97,49
3085,19.73,28
3086,20.76,27
3087,19.79,36
3088,22.78,34
3089,23.63,45
3090,25.71,28
3091,27.59,42
3092,21.16,26
3093,20.02,25
3094,23.64,32
3095,27.38,46
3096,28.53,48
3097,26.57,44
3098,26.95,37
3099,30.98,32
3100,33.0,29
3101,31.79,38
3102,30.66,47
3103,29.42,42
3104,29.42,48
3105,29.01,47
3106,28.32,41
3107,27.08,24
3108,25.39,45
3109,25.04,47
3110,25.52,43
3111,25.38,38
3112,26.84,28
3113,29.07,42
3114,28.4,35
3115,28.76,52
3116,30.89,61
3117,31.83,49
3118,32.05,38
3119,33.59,46
3120,34.13,43
3121,34.01,41
3122,32.1,43
3123,30.34,36
3124,29.63,42
3125,30.05,58
3126,28.24,40
3127,28.17,27
3128,30.79,33
3129,32.19,36
3130,30.97,38
3131,29.0,45
3132,28.63,37
3133,28.29,42
3134,28.15,33
3135,26.52,34
3136,26.13,33
3137,27.54,46
3138,26.42,43
3139,21.57,47
3140,21.88,43
3141,25.01,41
3142,28.06,37
3143,29.92,41
3144,29.48,38
3145,29.33,46
3146,27.93,32
3147,25.16,43
3148,23.5,40
3149,25.96,29
3150,26.99,38
3151,28.35,42
3152,29.0,38
3153,27.65,45
3154,29.92,47
3155,27.59,40
3156,26.92,37
3157,25.36,46
3158,25.86,52
3159,27.32,50
3160,28.39,55
3161,30.79,43
3162,31.38,28
3163,30.91,32
3164,28.97,59
3165,29.38,63
3166,31.76,43
3167,31.59,40
3168,28.51,42
3169,23.85,38
3170,23.7,27
3171,23.15,40
3172,24.36,54
3173,25.86,61
3174,28.19,60
3175,30.2,46
3176,28.0,35
3177,23.41,26
3178,19.83,50
3179,22.93,46
3180,24.72,62
3181,25.36,57
3182,29.23,37
3183,27.72,37
3184,25.78,24
3185,27.66,54
3186,29.52,61
3187,28.34,55
3188,27.75,50
3189,27.95,59
3190,29.25,26
3191,29.97,27
3192,26.15,48
3193,19.03,42
3194,16.13,50
3195,19.43,49
3196,21.67,67
3197,17.43,54
3198,12.25,24
3199,13.33,53
3200,16.08,56
3201,17.37,51
3202,17.25,53
3203,17.99,43
3204,18.07,30
3205,17.08,24
3206,14.07,40
3207,14.06,29
3208,17.69,47
3209,19.78,56
3210,20.85,55
3211,21.91,30
3212,20.53,29
3213,13.87,36
3214,14.08,38
